epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.6838717,0.4792607,0.3267745,1.6760095308102319,0.69465571641922,0.5988454818725586,0.42819371819496155,1.6078983545303345
1,0.6899944,0.55962896,0.38958278,1.4145522480807668,0.6956604719161987,0.5571133494377136,0.38687801361083984,1.395228624343872
2,0.68987864,0.55869573,0.38869628,1.3643806976533932,0.6947847604751587,0.5067129731178284,0.3397583067417145,1.4632909297943115
3,0.6898467,0.5580907,0.3881214,1.3274500684890467,0.6945224404335022,0.5795354247093201,0.4088195264339447,1.2452492713928223
4,0.69004804,0.56038934,0.39010155,1.2811119907904023,0.6951298713684082,0.5912185311317444,0.42037391662597656,1.115715503692627
5,0.68986124,0.5629622,0.39264596,1.2376309357931339,0.6953622102737427,0.584420919418335,0.41336002945899963,1.2905213832855225
6,0.6899409,0.5686599,0.3981345,1.194941131723015,0.6964735984802246,0.5806103944778442,0.40989169478416443,1.0279183387756348
7,0.6899249,0.5749469,0.40438005,1.158958630274789,0.6946409940719604,0.581854522228241,0.41088128089904785,1.0873007774353027
8,0.6898615,0.5810625,0.41035748,1.1292359932927594,0.6956815123558044,0.5492701530456543,0.37896209955215454,1.0809053182601929
9,0.689962,0.5895112,0.41877607,1.0936320741873702,0.6949234008789062,0.6181224584579468,0.447945773601532,1.1732087135314941
10,0.6898077,0.5948378,0.42419916,1.0669610100530582,0.6954476237297058,0.5709127187728882,0.3999783396720886,1.1866066455841064
11,0.6900149,0.6000397,0.42934906,1.039466358666338,0.695885181427002,0.5945519208908081,0.42376279830932617,1.0622450113296509
12,0.6898101,0.6019615,0.43144855,1.027994079437537,0.6956918239593506,0.5816617608070374,0.41072434186935425,1.3017358779907227
13,0.68993413,0.60897934,0.43869135,0.9966911317675354,0.694896399974823,0.6329728364944458,0.4639512002468109,1.1775717735290527
14,0.69006026,0.6122992,0.4420692,0.9766791744079871,0.6947702169418335,0.5971773862838745,0.42615580558776855,1.3230260610580444
15,0.68986624,0.61840105,0.4484112,0.9499946593945384,0.6952641606330872,0.5865943431854248,0.41562017798423767,1.0821057558059692
16,0.68981653,0.62162405,0.45176193,0.9321836224352112,0.6961113214492798,0.6359044313430786,0.46698302030563354,0.9123580455780029
17,0.6898908,0.6257434,0.45621008,0.9105724979384232,0.6953150629997253,0.6471983194351196,0.47927141189575195,0.9921233654022217
18,0.6898507,0.63158315,0.46221218,0.8898587730651406,0.6939895749092102,0.6232324838638306,0.45342501997947693,0.8158221244812012
19,0.6898059,0.6364057,0.4675774,0.867324016896747,0.6946147680282593,0.6399634480476379,0.47110515832901,0.8237415552139282
20,0.70867366,0.6449198,0.4768239,0.8444961294788108,0.7349720001220703,0.6667940020561218,0.5009809136390686,0.8730360865592957
21,0.7539249,0.66452205,0.4984597,0.811993045068783,0.745060920715332,0.6703515648841858,0.5049543976783752,0.9054336547851562
22,0.77018124,0.6804498,0.51659983,0.7667516850722217,0.7537039518356323,0.6678604483604431,0.5021913051605225,1.073517918586731
23,0.77820706,0.6912867,0.5290515,0.7345282247962764,0.7538315057754517,0.68094801902771,0.5170959234237671,0.9321739673614502
24,0.784762,0.69942194,0.53859633,0.7088899851870478,0.7593676447868347,0.6842498183250427,0.521034836769104,0.7344708442687988
25,0.79123825,0.70798594,0.5487771,0.6819449022448912,0.7551535367965698,0.6724780201911926,0.5073398947715759,0.8572242856025696
26,0.79910827,0.7170353,0.5596961,0.6523240604769686,0.7612200975418091,0.678092360496521,0.5138946771621704,0.6340580582618713
27,0.8086891,0.7282369,0.57335156,0.6141250226509366,0.7595353126525879,0.6918638348579407,0.5297636389732361,0.7626178860664368
28,0.8166788,0.7361692,0.5833289,0.5865116687605949,0.7621909379959106,0.6937771439552307,0.5319201946258545,1.064940094947815
29,0.8253613,0.7470977,0.5971317,0.555241818729724,0.75774085521698,0.6882804036140442,0.5254794359207153,0.9501904249191284
30,0.8344323,0.756079,0.6084862,0.5236231085709331,0.7566925287246704,0.6985475420951843,0.5374329090118408,0.9251034259796143
31,0.8459612,0.7682518,0.6244269,0.48586215280197764,0.7573896050453186,0.6985865831375122,0.5375460982322693,0.8807179927825928
32,0.852728,0.77687,0.63580763,0.4628023360226605,0.7514729499816895,0.6785325407981873,0.514221727848053,1.0619193315505981
33,0.8620691,0.788471,0.65154904,0.4328829818187826,0.7569459080696106,0.6986370086669922,0.5375864505767822,0.9472803473472595
34,0.87104726,0.7982333,0.6648961,0.4034448357559832,0.7560669779777527,0.6995630860328674,0.5389714241027832,0.7933550477027893
35,0.87943906,0.80961657,0.68069875,0.37623612688858915,0.7558279037475586,0.7073626518249512,0.5478163361549377,1.022945761680603
36,0.8856675,0.81844956,0.69329816,0.3565016500194184,0.7582606077194214,0.709425151348114,0.5507673621177673,1.3779562711715698
37,0.8922742,0.82867426,0.70800465,0.33437272880674873,0.7514623403549194,0.6966042518615723,0.5354485511779785,1.2821223735809326
38,0.8989398,0.83816934,0.72197324,0.31414317799141717,0.752672553062439,0.7106371521949768,0.5520895719528198,1.2303885221481323
39,0.90415174,0.8454458,0.73274964,0.29639491497445164,0.7520536184310913,0.7136654257774353,0.5557262301445007,0.8806096315383911
40,0.91080993,0.8545938,0.7465346,0.27511778473854065,0.759332001209259,0.7283021211624146,0.5733224749565125,1.223475456237793
41,0.9149251,0.86288023,0.75927824,0.26177157765524395,0.747564971446991,0.7114762663841248,0.553171694278717,1.0904219150543213
42,0.9169254,0.8674305,0.7664271,0.2546472735062278,0.7425963282585144,0.7092578411102295,0.5506409406661987,1.5352070331573486
43,0.9192714,0.87220746,0.7737639,0.24684812688710356,0.7569584846496582,0.7275699377059937,0.5730327367782593,1.2389545440673828
44,0.92553365,0.8804416,0.7867949,0.22670275690514566,0.7518291473388672,0.7239252328872681,0.5681174397468567,1.181279182434082
45,0.92812765,0.88519967,0.7944363,0.21817366963742113,0.7588268518447876,0.7361716032028198,0.5832289457321167,1.1928521394729614
46,0.93050283,0.88912535,0.8006559,0.20981297585243674,0.7606413960456848,0.7368952631950378,0.5841943025588989,1.2787598371505737
47,0.93285114,0.89460826,0.8096206,0.20214897406994564,0.7558663487434387,0.7339097857475281,0.5806187391281128,1.2097289562225342
48,0.93449354,0.8975932,0.81450987,0.19691239346816442,0.7539137005805969,0.734371542930603,0.5813090205192566,1.1342127323150635
49,0.9361114,0.9004004,0.8191447,0.19171773424459032,0.7516525983810425,0.7240482568740845,0.568124532699585,1.116506814956665
50,0.9392984,0.9056194,0.8277814,0.18091418954752,0.7570260763168335,0.7380949258804321,0.5858197808265686,1.428065299987793
51,0.9441048,0.9128574,0.83993363,0.16502816918367835,0.759983479976654,0.7433414459228516,0.5923609137535095,2.0649642944335938
52,0.94294107,0.9123896,0.83915687,0.16827355726125492,0.7500178217887878,0.7310096621513367,0.5770494341850281,1.31875479221344
