epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.46474382,0.3268386,0.19698052,2.012021266829017,0.4740518033504486,0.3427521884441376,0.20772765576839447,1.6785764694213867
1,0.47329023,0.34541446,0.20975108,1.8953924155674098,0.4772440791130066,0.32294851541519165,0.1931850016117096,1.8537404537200928
2,0.479057,0.3524853,0.21493904,1.8514715212985782,0.4728728234767914,0.3481697738170624,0.21169155836105347,2.83425235748291
3,0.48132166,0.35883024,0.21965255,1.8192917444223276,0.4899100661277771,0.3630749583244324,0.2227630317211151,1.6580135822296143
4,0.48645192,0.36616814,0.22510576,1.7826314349847336,0.48980912566185,0.3850274384021759,0.23943372070789337,1.4251089096069336
5,0.4932166,0.37560302,0.23244669,1.7380784096162012,0.4919721782207489,0.3602807819843292,0.22067822515964508,1.773890733718872
6,0.49987,0.38313675,0.23817384,1.7027488448502828,0.5049046277999878,0.3944331109523773,0.2468690127134323,1.6021599769592285
7,0.50634164,0.38949654,0.24311863,1.6749528593812253,0.5167337656021118,0.403524786233902,0.2541602551937103,1.5669618844985962
