epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.6798203,0.37684184,0.24051763,1.9568381567259092,0.69465571641922,0.5907149314880371,0.4199424684047699,1.5827147960662842
1,0.6899944,0.55948126,0.38946417,1.4174715845825046,0.6956604719161987,0.5650578141212463,0.39464205503463745,1.3875412940979004
2,0.68987864,0.56042475,0.39031798,1.369183721940699,0.6947847604751587,0.4845040738582611,0.32010477781295776,1.4643937349319458
3,0.6898467,0.5619,0.3917467,1.3136212469904662,0.6945224404335022,0.5811840295791626,0.41048088669776917,1.2011380195617676
4,0.69004804,0.5689214,0.398316,1.2553435055863944,0.6951298713684082,0.6046640276908875,0.4340358376502991,1.049429178237915
5,0.68986124,0.5749622,0.40430024,1.2080129727684603,0.6953622102737427,0.5828245878219604,0.41171449422836304,1.2264312505722046
6,0.6899409,0.58163387,0.41094312,1.163532729816671,0.6964735984802246,0.5884410738945007,0.4176904261112213,0.9511121511459351
7,0.6899249,0.58666736,0.4160456,1.126825541770429,0.6946409940719604,0.5842486619949341,0.41327396035194397,1.064521312713623
8,0.6898615,0.59174395,0.42107615,1.0937259964626602,0.6956815123558044,0.5391883254051208,0.36941850185394287,1.0282824039459229
9,0.689962,0.5951642,0.4245332,1.0684063036260207,0.6949234008789062,0.6258061528205872,0.4559885561466217,1.1274815797805786
10,0.6898077,0.6004597,0.42980853,1.0376008185180459,0.6954476237297058,0.5792576670646667,0.4082264304161072,1.166182518005371
11,0.6900149,0.6053744,0.43481898,1.0090683278346237,0.695885181427002,0.5819193124771118,0.41090965270996094,1.1164777278900146
12,0.6898101,0.6096807,0.4393882,0.9899414171457876,0.6956918239593506,0.5983089208602905,0.42741745710372925,1.2606463432312012
13,0.68993413,0.61428416,0.44412127,0.9651786137271572,0.694896399974823,0.6316486597061157,0.4624461233615875,1.0363205671310425
14,0.69006026,0.6195254,0.44957045,0.9431186409195752,0.6947702169418335,0.5942254662513733,0.42317575216293335,1.2657227516174316
15,0.68986624,0.6249623,0.45535094,0.920212062922391,0.695267379283905,0.5994786024093628,0.42868924140930176,1.1317462921142578
16,0.690012,0.629389,0.45993468,0.9003044936522219,0.699520468711853,0.6290904879570007,0.45955777168273926,0.8971436023712158
17,0.7175084,0.6378947,0.46917275,0.8763998663396155,0.7180195450782776,0.6536241769790649,0.48627322912216187,0.9184389114379883
18,0.7291222,0.6488028,0.4808863,0.8446075320243835,0.7263644933700562,0.6305601000785828,0.4612722396850586,0.8124508261680603
19,0.74689245,0.65583384,0.48882446,0.8168623724206366,0.7380017042160034,0.6532410979270935,0.4857172966003418,0.8124325275421143
20,0.76104134,0.65760815,0.490748,0.7919402971900359,0.7429214119911194,0.6482106447219849,0.4802339971065521,0.8581637144088745
21,0.76716024,0.6618373,0.4954167,0.7686836924541202,0.7438251972198486,0.659792423248291,0.493027925491333,0.7669085264205933
22,0.77505773,0.6666019,0.50072235,0.7357574505800111,0.7392813563346863,0.6386473774909973,0.47003135085105896,1.133172631263733
23,0.7820554,0.6705967,0.5051147,0.7090178367839691,0.7454042434692383,0.6470196843147278,0.47883638739585876,0.9613676071166992
24,0.78831184,0.6730741,0.5079407,0.682902291234061,0.7477684020996094,0.6499689817428589,0.48219728469848633,0.8393522500991821
25,0.7946754,0.67693025,0.5123237,0.6580220545832004,0.7453921437263489,0.6407820582389832,0.47206854820251465,0.9599658250808716
26,0.80172503,0.6789739,0.5146014,0.6323255222171764,0.7307872772216797,0.616511344909668,0.4464752674102783,0.7235654592514038
27,0.80968374,0.6836984,0.52002615,0.6015913526754122,0.7394326329231262,0.6379052400588989,0.4690574109554291,0.9165166020393372
28,0.81617194,0.68843406,0.5255346,0.578897441048587,0.7443930506706238,0.643997073173523,0.47559595108032227,1.038343906402588
29,0.8251795,0.6906354,0.5281828,0.5460943077354525,0.7414155006408691,0.6176512837409973,0.44741591811180115,1.2008681297302246
30,0.8318514,0.69288594,0.53067964,0.5215172014892541,0.7465860247612,0.6515777111053467,0.4837144911289215,0.9992235898971558
31,0.83992743,0.6983369,0.53719217,0.4940535594555904,0.7330519556999207,0.6092072129249573,0.43858012557029724,1.0232688188552856
32,0.8507255,0.69309616,0.53095716,0.4597913206209422,0.7388867139816284,0.6082383394241333,0.4374285638332367,1.2963197231292725
33,0.85683525,0.69651586,0.53503186,0.43868786301601137,0.7398306727409363,0.6131112575531006,0.44252413511276245,1.1290501356124878
34,0.8655698,0.69721884,0.5358058,0.4108374808578585,0.7422789335250854,0.6257469058036804,0.45596370100975037,1.0051586627960205
35,0.87479395,0.69898915,0.5379899,0.3819534844496912,0.7330293655395508,0.5968214273452759,0.4256768226623535,1.0631920099258423
36,0.8823431,0.6974406,0.5361134,0.3581120231959978,0.7407873272895813,0.62422114610672,0.45443469285964966,1.493560552597046
37,0.8911606,0.7002648,0.5393353,0.33068380363889643,0.7246817350387573,0.5838831067085266,0.41288772225379944,1.4390069246292114
38,0.89698523,0.70242023,0.5419298,0.3122301747523596,0.7277225255966187,0.5716209411621094,0.40081024169921875,1.4469834566116333
39,0.90555704,0.7027333,0.5423187,0.2863530529438717,0.7249796390533447,0.5628858208656311,0.392322838306427,1.3695646524429321
40,0.90783787,0.7063343,0.5466783,0.2794217111071439,0.7278944849967957,0.6008839011192322,0.42990726232528687,1.2570922374725342
41,0.9162333,0.71067154,0.55179334,0.2536615807315934,0.724541962146759,0.5824507474899292,0.41143327951431274,1.302504062652588
42,0.92256725,0.7191171,0.5619527,0.23453501577166433,0.7352218627929688,0.593902051448822,0.42311587929725647,1.7415610551834106
43,0.9281909,0.72101206,0.56425476,0.21702997445035038,0.7295812964439392,0.5731067657470703,0.4024515748023987,1.455670952796936
44,0.9326126,0.72825867,0.57316756,0.2032274097130984,0.7345322370529175,0.6033596396446228,0.4326910376548767,1.5626450777053833
45,0.9345872,0.73725855,0.5843065,0.19650563238879679,0.7351689338684082,0.6269513368606567,0.4572105407714844,1.661303162574768
46,0.9385139,0.74588716,0.59527206,0.18460640611461104,0.7380355596542358,0.6392768025398254,0.47057294845581055,1.7225757837295532
47,0.93962413,0.75451493,0.6063017,0.18059142986518453,0.7315914034843445,0.6059736013412476,0.4352453351020813,1.6775686740875244
48,0.9426381,0.7612692,0.6150379,0.17117389681444706,0.7249053120613098,0.5945264101028442,0.423656702041626,1.639068365097046
49,0.9433971,0.7703182,0.62686974,0.16803242645114294,0.7221338152885437,0.6109033226966858,0.4404018819332123,1.351823329925537
50,0.9473925,0.7754413,0.63370097,0.1560376597710265,0.7206534147262573,0.5811322927474976,0.41017013788223267,1.772308349609375
51,0.95456755,0.78021467,0.6399945,0.1345862673746573,0.7314915657043457,0.6088482737541199,0.43821802735328674,2.364889621734619
52,0.9533363,0.7848147,0.6463079,0.13737374022419974,0.7328453660011292,0.6221184134483337,0.45211488008499146,1.7460904121398926
